Mass,Radius,Density,Temperature,Pressure,Luminosity,Energy Rate,Opacity,del_ad,del_actual,Shell Nature
4.493764798475443e+23,11168215.649785066,88.2520625976254,17110893.40754048,2.0424328533387296e+17,2.8150959037519215e+25,54.66052376505692,1.0192207460586662,0.4,0.4,Convective
4.596666462958043e+23,11241918.680843659,88.25206219177905,17110893.35502606,2.0424328376678387e+17,2.8713424915209166e+25,54.66052190007488,1.01922074971853,0.4,0.4,Convective
4.701924448482871e+23,11316336.111257311,88.25206177834839,17110893.30153027,2.0424328217040973e+17,2.9288770546970213e+25,54.66052000024111,1.0192207534467888,0.4,0.4,Convective
4.809592711891905e+23,11391476.943314893,88.25206135718312,17110893.247033667,2.0424328054417002e+17,2.9877290862439326e+25,54.66051806486449,1.0192207572447973,0.4,0.4,Convective
4.9197264455721745e+23,11467349.66457192,88.2520609281167,17110893.19151469,2.0424327888742163e+17,3.04792875447494e+25,54.66051609317995,1.019220761114056,0.4,0.4,Convective
5.032382105748333e+23,11543961.888579797,88.25206049096339,17110893.134949315,2.0424327719944755e+17,3.1095069185176225e+25,54.66051408433383,1.0192207650562428,0.4,0.4,Convective
5.1476174414226974e+23,11621319.92197664,88.25206004551515,17110893.077310618,2.0424327547944438e+17,3.172495144132462e+25,54.66051203737021,1.019220769073231,0.4,0.4,Convective
5.26549152397859e+23,11699428.247176135,88.25205959153777,17110893.018568296,2.0424327372650778e+17,3.23692571989402e+25,54.660509951213044,1.0192207731671339,0.4,0.4,Convective
5.386064777460936e+23,11778288.908552533,88.25205912876672,17110892.95868811,2.0424327193961613e+17,3.3028316737423187e+25,54.66050782464609,1.0192207773403383,0.4,0.4,Convective
5.509399009550668e+23,11857900.788533248,88.25205865690208,17110892.897631273,2.0424327011761174e+17,3.3702467899134616e+25,54.66050565629202,1.0192207815955454,0.4,0.4,Convective
5.6355574432484226e+23,11938258.758353652,88.25205817560345,17110892.83535372,2.0424326825917997e+17,3.439205626257974e+25,54.66050344458593,1.0192207859358273,0.4,0.4,Convective
5.7646047492832894e+23,12019365.563960128,88.25205768446038,17110892.771802343,2.042432663627359e+17,3.509743531953015e+25,54.660501187641785,1.0192207903648864,0.4,0.4,Convective
5.896607079264383e+23,12101350.840155851,88.25205718289011,17110892.706901748,2.0424326442602954e+17,3.581896665596045e+25,54.660498882782164,1.0192207948879752,0.4,0.4,Convective
6.031632099590829e+23,12184245.154981451,88.2520566706956,17110892.640626423,2.0424326244829984e+17,3.65570201377816e+25,54.6604965291006,1.0192207995068725,0.4,0.4,Convective
6.16974902613873e+23,12268039.80216059,88.25205614778068,17110892.57296394,2.0424326042917578e+17,3.7311974100392225e+25,54.660494126156436,1.019220804222445,0.4,0.4,Convective
6.311028659742431e+23,12352725.456156269,88.25205561405805,17110892.503902994,2.042432583683199e+17,3.8084215542551966e+25,54.66049167354758,1.0192208090354802,0.4,0.4,Convective
6.455543422487739e+23,12438292.192821356,88.25205506944957,17110892.433433477,2.042432562654308e+17,3.887414032475787e+25,54.66048917091558,1.0192208139466814,0.4,0.4,Convective
6.603367394837004e+23,12524729.514783194,88.25205451388726,17110892.361546583,2.042432541202456e+17,3.968215337216763e+25,54.6604866179474,1.0192208189566636,0.4,0.4,Convective
6.754576353603526e+23,12612026.38194247,88.25205394731358,17110892.288234882,2.0424325193254253e+17,4.050866888216505e+25,54.66048401437908,1.0192208240659455,0.4,0.4,Convective
6.90924781079604e+23,12700171.24748442,88.25205336968244,17110892.213492405,2.0424324970214352e+17,4.135411053668144e+25,54.66048135999888,1.0192208292749407,0.4,0.4,Convective
7.067461053352735e+23,12789152.099814907,88.25205278095966,17110892.137314722,2.042432474289164e+17,4.2218911719378904e+25,54.66047865464938,1.01922083458396,0.4,0.4,Convective
7.229297183784547e+23,12878956.510848463,88.25205218112352,17110892.059699025,2.0424324511277738e+17,4.31035157378037e+25,54.660475898230914,1.0192208399931975,0.4,0.4,Convective
7.394839161749984e+23,12969571.691089977,88.25205157016534,17110891.980644196,2.042432427536931e+17,4.400837605063127e+25,54.66047309070389,1.0192208455027325,0.4,0.4,Convective
7.564171846581116e+23,13060984.551961886,88.25205094809007,17110891.900150876,2.042432403516826e+17,4.49339565001102e+25,54.6604702320909,1.019220851112519,0.4,0.4,Convective
7.737382040783914e+23,13153181.775840456,88.25205031491666,17110891.81822151,2.042432379068189e+17,4.588073154983183e+25,54.66046732247871,1.019220856822387,0.4,0.4,Convective
7.914558534534734e+23,13246149.894271344,88.25204967067836,17110891.73486041,2.0424323541923062e+17,4.684918652794477e+25,54.66046436202086,1.0192208626320372,0.4,0.4,Convective
8.095792151195068e+23,13339875.374839356,88.25204901542308,17110891.650073763,2.042432328891026e+17,4.783981787593503e+25,54.66046135093664,1.0192208685410373,0.4,0.4,Convective
8.281175793869487e+23,13434344.717170002,88.25204834921338,17110891.563869674,2.042432303166764e+17,4.885313340310831e+25,54.66045828951421,1.019220874548823,0.4,0.4,Convective
8.470804493028733e+23,13529544.558535825,88.25204767212655,17110891.47625814,2.0424322770225053e+17,4.988965254689408e+25,54.660455178108435,1.019220880654697,0.4,0.4,Convective
8.664775455223966e+23,13625461.789535012,88.25204698425429,17110891.387251023,2.0424322504617904e+17,5.0949906639114e+25,54.660452017140926,1.0192208868578325,0.4,0.4,Convective
8.863188112916542e+23,13722083.680295419,88.25204628570235,17110891.296862014,2.0424322234887027e+17,5.203443917834762e+25,54.66044880709708,1.0192208931572762,0.4,0.4,Convective
9.066144175448105e+23,13819398.017637562,88.25204557658984,17110891.205106523,2.0424321961078413e+17,5.314380610853098e+25,54.66044554852502,1.0192208995519527,0.4,0.4,Convective
9.273747681178911e+23,13917393.253604019,88.2520448570482,17110891.112001553,2.042432168324282e+17,5.427857610394066e+25,54.66044224202832,1.019220906040679,0.4,0.4,Convective
9.486105050818967e+23,14016058.665724732,88.25204412721997,17110891.017565556,2.042432140143528e+17,5.543933086069774e+25,54.6604388882623,1.0192209126221685,0.4,0.4,Convective
9.703325141981113e+23,14115384.529343307,88.25204338725702,17110890.92181817,2.042432111571443e+17,5.662666539495068e+25,54.66043548792419,1.019220919295051,0.4,0.4,Convective
9.925519304983334e+23,14215362.302270332,88.25204263731835,17110890.824779984,2.042432082614168e+17,5.784118834788658e+25,54.660432041745636,1.0192209260578946,0.4,0.4,Convective
1.0152801439928148e+24,14315984.821958408,88.25204187756754,17110890.726472154,2.0424320532780173e+17,5.908352229772283e+25,54.66042855047762,1.0192209329092212,0.4,0.4,Convective
1.0385288055089758e+24,14417246.51530807,88.25204110816928,17110890.626915995,2.042432023569352e+17,6.035430407884681e+25,54.660425014877035,1.0192209398475482,0.4,0.4,Convective
1.0623098326638228e+24,14519143.621108847,88.25204032928558,17110890.526132464,2.042431993494426e+17,6.165418510826398e+25,54.660421435688406,1.0192209468714128,0.4,0.4,Convective
1.0866354159730398e+24,14621674.424995963,88.25203954107087,17110890.424141552,2.0424319630592042e+17,6.298383171951632e+25,54.660417813621805,1.0192209539794246,0.4,0.4,Convective
1.1115180251001007e+24,14724839.50665839,88.25203874366652,17110890.320961546,2.0424319322691437e+17,6.4343925504254435e+25,54.6604141493263,1.0192209611703067,0.4,0.4,Convective
1.1369704152483478e+24,14828641.998860361,88.2520379371941,17110890.216608178,2.0424319011289395e+17,6.573516366162408e+25,54.66041044336079,1.0192209684429643,0.4,0.4,Convective
